Id,Kazakh,Russian,English,Level
1430,ғылыми дәреже,учёная степень,academic degree,A2
1431,ғылыми еңбек,научный труд,research work,A2
1432,лауазымдық нұсқаулық,должностные,duty regulations,A2
1433,қабылдану,быть принятым,to be accepted,A2
1434,босатылу,быть уволенным,to be dismissed,A2
1435,кезекті еңбек демалысы,очередной трудовой,another labor holiday,A2
1436,берілген күні,дата выдачи,date of issue,A2
1437,жарияланған күн,дата публикации,publication date,A2
1438,келісімшарт,договор,contract,A2
1439,сынақ мерзімі,испытательный срок,probation,A2
1440,орындалу мерзімі,срок исполнения,period of execution,A2
1441,сақталу мерзімі,срок хранения,storage period,A2
1442,құжат айналымы,документооборот,document flow,A2
1443,"айлық, жалақы",заработная плата,salary,A2
1444,сыйақы,премия,award,A2
1445,үстемеақы,надбавка,extra charge,A2
1446,өз еркімен,по собственному,at own will,A2
1447,кезектен тыс демалыс,внеочередной отпуск,extraordinary holiday,A2
1448,мәселені шешу,решить проблему,to solve a problem,A2
1449,іссапар,командировка,business trip,A2
1450,бала күтімі,уход за ребенком,care of the child,A2
1451,басқарма,правление,board,A2
1452,орынбасар,заместитель,deputy,A2
1453,өкілетті орган,уполномоченный орган,authorized body,A2
1454,марапаттау,награждать,to award,A2
1455,сөгіс,выговор,reprimand,A2
1456,ескерту,замечание,remark,A2
1457,еңбек тәртібі,трудовая дисциплина,labor discipline,A2
1458,жеке еңбек шарты,трудовой договор,employment contract,A2
1459,бұйрық шығару,издать приказ,to issue the order,A2
1460,қамтамасыз ету,обеспечить,to provide,A2
1461,жүктелу,возложить,to assign,A2
1462,төлену,прозвести оплату,to do payment,A2
1463,бекіту,утвердить,to approve,A2
1464,жою,анулировать,to cancel,A2
1465,қалу,оставаться,to remain,A2
1466,ұстап қалу,удержать,to hold,A2
1467,жоспар,план,plan,A2
1468,жауапты,ответственный,responsible,A2
1469,тізім,список,list,A2
1470,несие алу,брать кредит,to take the credit,A2
1471,айырбастау,обменять,to exchange,A2
1472,құжатты куәландыру,заверять документ,to certify the document,A2
1473,адамдардың мазасын,мешать окружающим,to disturb people around,A2
1474,рәсімдеу,оформлять,to make out/ draw up,A2
1475,жағымды,положительный,positive,A2
1476,жарнама,реклама,advertizing,A2
1477,қайтадан,"снова, заново, опять","again, anew",A2
1478,нақты,конкретный,concrete,A2
1479,дәл,точный,exact,A2
1480,одан басқа,кроме того,Besides/apart from,A2
1481,өз бетімен,самостоятельно,independently,A2
1482,озық,передовой,main,A2
1483,ортақ,единый,uniform,A2
1484,ереже,"положение, правило","provision, rule",A2
1485,айыппұл,штраф,fine,A2
1486,заңды тұлға,юридическое лицо,legal entity,A2
1487,жеке тұлға,физическое лицо,Individual/person,A2
1488,құпия,"секрет, тайна",secret,A2
1489,бөтен адам,постороний человек,stranger,A2
1490,арнайы,специальный,special,A2
1491,айналым,оборот,circulation of money,A2
1492,пайда,прибыль,profit,A2
1493,шығын,расходы,expenses,A2
1494,бюджеттен тыс,внебюджетный,extrabudgetary,A2
1495,Адам және оның қасиеті,Человек и его природа,Human being and human nature,A2
1496,Жаман жолдастан жақсы дұшпан артық.,"Чем плохой друг,  лучше достойный враг.",What a bad friend is better than a worthy enemy.,A2
1497,Уәде жанның азығы.,Уговор дороже денег.,A bargain is a bargain.,A2
1498,"Аш бала тоқ баламен ойнамайды, тоқ бала аш боламын деп ойламайды.","Брюхо глухо: словом не уймешь (что ни говори, а корми); голодное брюхо глухо (без уха).",The belly has no ears: hungry bellies have no ears.,A2
1499,Қорқақ күнде өледі.,Трус умирает много раз.,Coward dies many times.,A2
1500,"Әр елдің салты басқа, иттері қара қасқа.","Сколько стран, столько обычаев. Что город, то норов.",Many countries so many customs.,A2
1501,Ақылы жоқтың ақшасы тұрмайды.,У глупого деньги долго не держатся.,A fool and his money are soon parted.,A2
1502,Ауру қалса да әдет қалмайды.,Одна привычка вытесняет другую.,Habit cures habit.,A2
1503,Жақсы сөз жарым ырыс.,"Люди охотно верят тому, чего сами желают.",The wish is father to the thought.,A2
1504,Еңбек пен кәсіп. Ғылым және өнер.,Труд. Профессия. Наука. Искусство.,"work, labour, profession.",A2
1505,"Жеті жұрттың тілін біл, жеті түрлі ғылым біл.",Стремись изучить язык семи народов и семь разных наук.,Strive to learn the language of the seven peoples and seven different sciences.,A2
1506,"Еңбегіне қарай, өнбегі; Өмір үйретеді, еңбек ширатады.","Работая, мы учимся.",In doing we learn.,A2
1507,Әр нәрсенің басталатын жері бар.,"Все имеет начало, зачинается, починается, от начала начинается.",Everything must have a beginning,A2
1508,"Қойшы көп болса, қой арам өлер.",У семи нянек дитя без глазу.,Too many cooks spoil the broth.,A2
1509,"Білімді мыңды жығады, Білікті бірді жығады.",Хорошая наковальня не боится молота.,A good anvil does not fear the hammer,A2
1510,Өткен іске өкінбе,"Что с возу упало, то пропало.",It’s no use crying over spoilt milk.,A2
1511,Өмір. Өлім. Тағдыр.,Жизнь. Смерть. Судьба.,Life. Death. Fate.,A2
1512,Жаман хабар жерде жатпайды.,Худые вести не лежат на месте. Плохая молва на крыльях летит.,Bad news travels fast. Ill news flies fast.,A2
1513,Күнде той бола бермес.,Не все коту масленица.,Christmas comes but once a year.,A2
1514,Жоққа жүйрік жетпейді.,Противоположности притягиваются.,Extremes meet.,A2
1515,Сақтықта қорлық жоқ.,Предупреждение тоже бережение.,"Forewarned, forearmed.",A2
1516,"Заман өзгерсе, заң да өзгереді.",Новая метла по новому метет.,"New lords, new laws.",A2
1517,Бес саусақ бірдей емес.,"Что положено царю, не положено дьячку.",One mаn may steal a horse while another may not look over a hedge.,A2
1518,Байлық мұрат емес. Жоқтық ұят емес.,Бедность не порок.,Poverty is no crime.,A2
1519,"Болар іс болды, бояуы сіңді.","Что было, то было.",What’s gone is gone.,A2
1520,Қиыншылық. Үміт. Ақыл - кеңес. Тәлім -тәрбие.,Трудность. Надежда. Совет.,Difficulties. Hope. Advice.,A2
1521,"Ертеңгі астан ауыз ти, түскі асты тастама, кешкі асқа қарама.",Надо поесть немного утром и можно не есть целый день.,A bit in the morning is better than nothing all day.,A2
1522,Көрпеңе қарай көсіл.,По одёжке протягивай ножки; по одеялу ноги протягивай.,Cut the coat according to the cloth.,A2
1523,"Күлме досқа, келер басқа.","Не смейся, горох, - не лучше бобов.",Jeerers must be content to taste of their own broth.,A2
1524,"Үйлену оңай, Үй болу қиын.","Замуж выйти не напасть, как бы замужем не пропасть.",It is not every couple that is a pair. Marry in haste and repent at leisure.,A2
1525,"Денсаулық, бақыт, бақытсыздық.","Здоровье, счастье, несчастье","Health, happiness, unhappiness.",A2
1526,"Жаңбырдың соңы күншуақ, Қайғының соңы қуаныш.",Все пройдет.,Everything passes. Every cloud has a silver lining.,A2
1527,Сабыр түбі сары алтын.,Tерпенье лучшее спасенье.,Patience is a plaster for all sores.,A2
1528,Ерте тұрған озады елден.,"Кто рано ложится и рано встает, здоровье, богатство и ум наживает.",Early bird catches the worm.,A2
1529,Тіл. Тіл өнері.,Язык. Речь.,Language and speech.,A2
1530,"Аз айтып, көп тоқы.","Меньше говори, больше слушай; больше дела, меньше слов.",Keep your mouth shut and your ears open.,A2
1531,"Көп сөз көмір, Аз сөз алтын.","Слово- серебро, молчание – золото; сказано- серебро, не сказано-золото.",Speech is silver but silence is gold; no wisdom like silence.,A2
1532,Уақыт. Табиғат құбылыстары.Мән мазмұн.,Время. Естественные явления. Сущность.,Time. Natural phenomena. Essence.,A2
1533,"Жел тұрмаса, шөптің басы қимылдамайды.",Нет дыма без огня.,There is no fire without smoke.,A2
1534,Уақыт ұлы емші.,Время лучший целитель.,Time cures all things; time is the best healer.,A2
1535,Туған жердің жуасы да тәтті.,Дома и стены лечат.,At home the air is medicine.,A2
1536,"Қал-жағдай сұрау, сұраққа жауап беру Қалыңыз қалай? Жаман емес, жақсы Бірқалыпты Бәрі бұрынғыша","спрашивать о делах, отвечать на вопросы Как Вы? Неплохо, хорошо Без изменений Все по-прежнему","To ask how it is going, reply to a question How are you? Not bad, it is ok Nothing new Everything is as it used to be It is almost no news",B1
1537,Не жаңалық бар?,Что нового?,What’s new?,B1
1538,қуанышын білдіру,выражать радость,expressing pleasure,B1
1539,Кездескеніміз қандай жақсы болды!,"Я так рад(а) нашей встрече! Как хорошо, что мы встретились! Хорошо, что ты пришел!",I am so glad to meet you,B1
1540,Қандай жақсы кездесу болды!,Какая приятная встреча!,It was a pleasure to meet you.,B1
1541,Кездесу деп осыны айт!,Какая встреча! Вот эта встреча! Какая приятная встреча!,What a lucky meeting!,B1
1542,Бұл бір күтпеген кездесу болды!,Какая неожиданная встреча!,What an unexpected meeting! What a sudden meeting!,B1
1543,Сені көрмегелі қанша жыл болды!,Как давно мы не виделись!,I haven’t seen you for ages!,B1
1544,Кездеспегелі қанша жыл өтті десеші!,"Сколько лет, сколько зим!",Long time no see! It’s ages since we last met!,B1
1545,Біз кездеспегелі қай заман!,Сто лет не виделись!,I have not seen you for hundred years! I haven’t seen you for years!,B1
1546,Менің сізбен танысқым келеді,Я хочу с вами познакомиться,I want to meet you,B1
1547,Танысуға рұқсат етіңізші. Менің атым...,Разрешите с Вами познакомиться. Меня зовут …,Allow me to meet you to Let me introduce myself! My name is...,B1
1548,Өзімді таныстырайын. Менің тегім ...,Разрешите представиться. Моя фамилия ...,Let me to introduce myself. My surname ...,B1
1549,"Кешіріңіз, атыңыз кім?","Простите, как вас зовут?","Excuse me, what is your name?",B1
1550,Сіздің есіміңіз кім?,Как ваше имя?,"Excuse me, what is your first name?",B1
1551,Ал сіздің тегіңіз?,А ваша фамилия?,And what is your family name?,B1
1552,"Кешіріңіз, сіз кімсіз?","Простите, вы кто?","Excuse me, who are you?",B1
1553,"Кешіріңіз, мен кіммен сөйлесіп тұрмын?","Простите, с кем я говорю?","Excuse me, whom am I speaking with?",B1
1554,Сізбен танысқаныма қуаныштымын,Я (очень) рад (рада) с вами познакомиться,I’m very glad to meet you,B1
1555,Біз таныспыз,Мы уже знакомы,We are already familiar We are acquainted already,B1
1556,Сізбен танысқаным жақсы болды,Мне приятно с вами познакомиться,I am very pleased to meet you,B1
1557,Біз бұрын кездескенбіз,Мы уже встречались раньше,We have met before,B1
1558,Сізді бір жерден көргенмін,Я где-то уже видел (видела) вас,I’ve already seen you somewhere (saw).,B1
1559,Сізді бір жерден кездестіргенмін,Я где-то уже встречал (встречала) вас,I’ve met you somewhere before (met) We have met before,B1
1560,Мен сізді білемін,Я вас знаю,I know you,B1
1561,Сіз мені таныдыңыз ба?,Вы меня узнали?,Have you recognized me?,B1
1562,Сіз мені танымадыңыз ба?,Вы меня не узнаёте?,Do not you recognize me?,B1
1563,"Көмектескеніңізге, сыйлығыңызға, қолдағаныңызға, құттықтағаныңызға рақмет","Спасибо тебе (вам) (за что) за помощь, за подарок, за поддержку, за поздравление","Thanks for your help, gift, support, congratulation, wishes",B1
1564,Алғысымды білдіремін,Благодарю,Thanks,B1
1565,Сізге алғысымды білдіремін,Благодарю вас,Thank you,B1
1566,"Көмегіңізге, кеңесіңізге, құттықтағаныңызға, шақырғаныңызға алғысымды білдіремін","Благодарю тебя (вас) за помощь, за совет, за поздравление, за приглашение","Thank you for your help, advice, congratulation wishes, invitation",B1
1567,"Күтіп алғаныңызға, қарсы алғаныңызға рақмет","Спасибо, что встретили меня",Thank you for meeting me,B1
1568,Қысылғанда құтқарғаныңыз үшін рақмет,"Спасибо, что выручили меня",Thank you for helping me out,B1
1569,Көмектескеніңіз үшін рақмет,"Спасибо,  что помогли мне",Thank you for your help,B1
1570,Мен сізге өте ризамын,Я вам очень благодарен (благодарна),I am very grateful to you,B1
1571,"Сенің көмегіңе, кеңесіңе құттықтағаныңа өте ризамын","Я очень благодарен (благодарна) тебе за помощь за совет, за поздравление","I am very grateful for your help, advice, congratulation (wishes)",B1
1572,"кешірім сұрау, оған жауап қайтару","извиниться, дать ему/ей ответ","apologize, reply her/him",B1
1573,"Мазалағаныма, кешігіп қалғаныма, тым ерте телефон шалғаныма, кешірім өтінемін","Извини(те) за беспокойство, за опоздание, за ранний звонок","Excuse me for disturbing you, being late, unexpected arrival, an early call",B1
1574,"Кешірім өтінемін, жұмыстарым болып қалды, аздап кешігіп қалдым","Прошу прощения, я немного опоздал(а), меня задержали дела","I’m sorry, I’m a little late, I was busy",B1
1575,"Мен сізден кешірім сұрауым керек, сіздің тапсырмаңызды орындай алмадым","Я хочу (я должен, должна) перед вами извиниться, я не смог (смогла) выполнить ваше задание","I want to (I must) apologize to you, I could not fulfill your request",B1
1576,Мен сенің (сіздің) алды(ңы)зда кінәлімін,Я виноват(а) перед тобой (вами),J’owe you an apology,B1
1577,Маған ренжіме,Не обижайся на меня,Do not be angry with me,B1
1578,Менің сізді ренжіткім келген жоқ,Я не хотел вас обидеть,I didn’t mean to offend you,B1
1579,"Менің досым сізден кешірім өтінді, бүгін келе алмайтынын айтты","Мой друг просил извиниться перед Вами, так как не сможет сегодня прийти",My friend apologizes for not coming,B1
1580,Ештеңе етпейді,Не за что,That’s OK,B1
1581,"Бәрі дұрыс, ештеңеге алаңдамаңыз. Ештеңе етпейді","Все хорошо, не волнуйтесь. Всё в порядке; ничего страшного","Everything is fine, do not worry. That’s OK",B1
1582,"Алаңдама, түк те емес","Не волнуйтесь, это не проблема","Do not worry, it is not a problem",B1
1583,Уайымдама. Соншалықты ештеңе болған жоқ,Не волнуйся. Ничего особенного не случилось,Do not worry. Nothing much happened,B1
1584,Алаңдамай ақ қойсын. Бәрі дұрыс,Пусть не волнуется. Все хорошо,Do not worry. Everything is OK,B1
1585,"Өкінішті-ақ, жарайды, келесі жолы күтеміз","Жаль, хорошо, будем ждать в следующий раз","It is a pity, well, we will wait for the next time",B1
1586,Мазалағаныма айып етпеңіз,Извините за беспокойство,I must apologize for troubling you,B1
1587,"өтіну, сұрау",запрос,request,B1
1588,"Маған газет, журнал беріңізші","Дайте мне пожалуйста журнал, газету","Give me a magazine, a newspaper please",B1
1589,"Сізде сөздік (журнал, қала анықтамалығы) бар ма?","У вас есть словарь (журнал, городская справочная)?","Do you have a dictionary (journal, city reference)?",B1
1590,"Кешіріңіз, сізде қаламсап бар ма, маған бір нәрсе жазу керек еді","Извините, у вас есть ручка? Мне нужно кое-что написать","Excuse me, do you have a pen, I need to write something",B1
1591,"Айып етпесеңіз, бүгін кешке хабарласыңызшы",сегодня вечером,"Excuse me, call me this evening, please",B1
1592,Сіз маған бүгін кешке хабарласа аласыз ба?,Вы можете позвонить мне сегодня вечером?,Could you call me this evening?,B1
1593,Менің сізге бір өтінішім,У меня есть одна просьба,I have а request for you.,B1
1594,бар. Менің кітаптарымды,к вам. Не могли бы,Could you return the books,B1
1595,кітапханаға өткізе саласыз,вы сдать мои книги в,"to the library, please?",B1
1596,Маған мәтінді аударуға,Помогите мне перевести,Could you help me to,B1
1597,көмектесіңізші,текст,"translate the text, please?",B1
1598,"Айып етпесеңіз, маған","Извините, не могли бы","Excuse me, could you help",B1
1599,мәтінді аударуға,вы помочь мне перевести,"me to translate the text,",B1
1600,көмектесе аласыз ба?,текст?,please?,B1
1601,Кіруге рұқсат етіңізші,Разрешите мне войти,"Let me enter, please.",B1
1602,Телефон шалуға рұқсат,Разрешите мне позвонить,"Let me make a call, please",B1
1603,Мына кітапты алуыма,Могу ли я взять эту книгу?,Could I take this book?,B1
1604,келісу – келіспеу,согласие – несогласие,agreement – disagreement,B1
1605,"Жақсы, хабарласамын","Хорошо, я свяжусь с","Well, I’ll call (translate,",B1
1606,"(аударамын, жазамын,","вами (переведу, напишу,","write, bring, etc)",B1
1607,әкелемін және т.б.),принесу и т.д.),"Well, I will contact",B1
1608,"Әрине, уайымдамаңыз,","Конечно, не переживайте,","Sure, sure, do not worry, I’ll",B1
1609,мен бәрін реттеп қоямын,я все сделаю,do everythng,B1
1610,"Жақсы, әрине көмектесе","Ну, конечно, я могу","Well, of course, I can help",B1
1611,Кіріңіз,Входите,Come in,B1
1612,"Әрине, рұқсат","Конечно, можно","Of course, you can",B1
1613,"Алыңыз, алыңыз","Берите, берите","Take it, take it",B1
1614,"Кешіріңіз, уақытым","Простите, у меня нет","I’m sorry, I have no time",B1
1615,"Өкінішке орай, көмектесе","К сожалению, я не","Unfortunately, I can not",B1
1616,алмаймын. Бүгін бос,могу помочь. Сегодня я,help. I am busy today. I,B1
1617,емеспін. Жұмысым көп,занят(а). Много работы,have a lot of work,B1
1618,Біз әлі кездесеміз!,Увидимся! Мы ещё увидимся!,"Goodbye, see you!",B1
1619,Ұмытпаңыздар!,Не забывай(те)!,Do not forget!,B1
1620,"эмоция, көңіл күй","эмоция, настроение","emotion, mood",B1
1621,қуанышты,радостный,delighted; joyfull,B1
1622,"отбасы, туыстық қарым-қатынас ата-баба","семья, родственные отношения предки","family, family relationships ancestors",B1
1623,нәресте,младенец,baby,B1
1624,ерлі-зайыптылар,супруги,married couple,B1
1625,туған (інім),родной (брат),sibling (blood brother),B1
1626,апалы-сіңілі,родные сёстры,own/real sister,B1
1627,құда,сват,father of the son/daughter- in-law,B1
1628,құдағи,сватья,mother of the son/daughter- in-law,B1
1629,қалыңдық,невеста,bride,B1
1630,күйеу жігіт,жених,groom,B1
1631,бойдақ,незамужняя; неженатый; холостой,single,B1
1632,шағын (отбасы),небольшая (семья),small (family),B1
1633,жас мөлшері,примерный возраст,approximate age,B1
1634,балалық шақ,детство,childhood,B1
1635,жастық шақ,"юность, детство",youth,B1
1636,бозбала,молодой человек,"young man, youfh",B1
1637,егде әйел,пожилая женщина,aged woman,B1
1638,жеткіншек,подросток (молодое поколение),adolescent,B1
1639,кәрілік,старость,old age,B1
1640,ересек,взрослый,"grown-up, adult",B1
1641,жастар,молодежь,"youth, young people",B1
1642,мектеп жасына дейінгі бала,дошкольник,preschool child,B1
1643,"қарым-қатынас, байланыс араласу",отношение; общение; связь общаться,relationship; communication to communicate,B1
1644,достасу,подружиться,become friends,B1
1645,еліктеу,подражать,to imitate,B1
1646,еңбектену,работать; трудиться,to work,B1
1647,бір-бірін түсіну,понимать друг друга,understand each other,B1
1648,біреуге ұқсау,быть похожим на кого-то; кому-то подражать,to imitate someone,B1
1649,әріптес болу,быть коллегами,be colleagues,B1
1650,жанжалдасу,скандалить; конфликтовать,to conflict,B1
1651,жасырмау,не скрывать,don’t hide/ make no bones of…,B1
1652,жасырын,тайно; секретно; скрытно,hidden; secretly,B1
1653,жұмсау,тратить,to spend,B1
1654,кездестіру,встретиться; устроить встречу,met up; meet up,B1
1655,келіспеушілік,несогласие; разногласие,disagreement,B1
1656,келісу,приходить к соглашению; договариваться,agree,B1
1657,кемшілігін кешіру,соглашаться; прощать недостатки,forgiveness of shortcomings,B1
1658,көмектесу,помогать,to help,B1
1659,күш-қуат жұмсау,тратить энергию,use energy,B1
1660,көңілде кірбің қалу,осадок на душе,grieve,B1
1661,қадірін білу,знать достоинство; ценить,know the worth cherish,B1
1662,араздаспау,не ссориться,keep out of a quarrel,B1
1663,назар аудару,обращать внимание; обратить внимание,to notice,B1
1664,қамқор болу,опекать,take up,B1
1665,қашып құтылу,спастись бегством,escape,B1
1666,маңызды,важный; значительный,important,B1
1667,мүлде,совсем; вообще,absolutely,B1
1668,нағыз,настоящий,true; real,B1
1669,ойы бір,одинаково мыслить; единомышленники,to be of one mind,B1
1670,өзара,между собой; взаимный,(Between) each other,B1
1671,өмірдің мәні,смысл жизни,the meaning of life,B1
1672,ренжісу,обижаться друг на друга,to be mad at smb,B1
1673,сөйлесу,поговорить друг с другом,have a talk,B1
1674,сыр жасырмау,не скрывать; не утаивать; не таить,make no secret,B1
1675,татуласу,мириться,the reconciliation to make peace with,B1
1676,түсіндіру,объяснять; разъяснять,interpretation,B1
1677,тығыз қарым-қатынас,тесная связь; крепкие отношения,strong relationships,B1
1678,ұқсау,быть похожим; быть подобным,to be like,B1
1679,ұнату,кто-то или что-то нравится,to ike,B1
1680,шындық; ақиқат,истина; правда,true,B1
1681,бұрынғыдай,как прежде; по старому,like before; the old way,B1
1682,іздеп табу,найти,to find,B1
1683,абырой; бедел,авторитет; репутация; почёт,authority,B1
1684,ақау; кемістік,дефект,defect,B1
1685,амал; тәсіл,способ; метод; действие,"method, way",B1
1686,анықтау; нақтылау,выяснять; определять; уточнять,refinement,B1
1687,ес; жады,память,memory,B1
1688,жағдаят,ситуация,situation,B1
1689,жинақтау; синтез,собирать; копить;,synthesis,B1
1690,талдау; анализ; саралау,анализировать,analysis,B1
1691,қабылдау; ұғыну,восприятие,perception,B1
1692,ішкі түйсік; интуиция,интуиция; внутренние,"intuition, instinct",B1
1693,интуиция арқылы,по интуиции; интуитивно,by intuition,B1
1694,құбылыс,явление,phenomenon,B1
1695,күдік; күмән,сомнение; подозрение,doubt; suspicion,B1
1696,аңдау; пайымдау,созерцание,contemplation,B1
1697,талап,побуждение; требования,incentive; demands,B1
1698,"ой, ойлау",рассуждение; рассуждать,reasoning,B1
1699,ғылыми негіз,научная основа,scientific basis,B1
1700,барлық жұмыстың негізі,основа всей работы,the basis of all work,B1
1701,іріктеу негізі,основа выборки,basis of production,B1
1702,зерттеу негізі,основа обследования,basis survey,B1
1703,заңнама негіздері,основы законодательства,bases of legislation,B1
1704,еңбек туралы заңнама,основы законодательства о,basis of labor legislation,B1
1705,ғылым негіздері,основы наук,fundamentals of science,B1
1706,тарихи оқиға,историческое событие,historical event,B1
1707,халықаралық оқиға,международное событие,international events,B1
1708,күтпеген оқиға,неожиданное событие,unexpected event,B1
1709,кездейсоқ оқиғалар,случайные события,random events,B1
1710,шешу; жауабын табу,отгадка; разгадывать,guessing,B1
1711,шынайылық,реальность,reality,B1
1712,абыр-сабыр,суматоха; хаос,turmoil,B1
1713,"бір оқиғаның,","слова, обозначающие",words denoting the,B1
1714,"құбылыстың, процесстің",развитие каких либо,development of any,B1
1715,дамуына қатысты,"– процессов, явлений,","processess, phenomena,",B1
1716,сөздер,событий,events,B1
1717,жандану,возрождение,renaissance,B1
1718,кері кету,деградация,degradation,B1
1719,диалектика,диалектика,dialectics,B1
1720,дағдарыс,кризис,a crisis,B1
1721,төңкеріс,переворот,coup,B1
1722,алмасу,перемена,change,B1
1723,бетбұрыс,поворот,turning,B1
1724,алға басу,прогресс,progress,B1
1725,шығу тегі,присхождение,descent,B1
1726,тағдыр,судьба,fate,B1
1727,баспасөз,печать; пресса,press,B1
1728,құрал,средство,instrument,B1
1729,өнер жұлдыздары,звезды искусства,stars of art,B1
1730,бейнежазба,видеозапись,video record,B1
1731,отандық,отечественный,"domestic, native",B1
1732,шетелдік,зарубежный; иностранный,foreign,B1
1733,телеарна,телеканал,TV channel,B1
1734,теледидар жүргізуші,телеведуший,TV presenter,B1
1735,телехабар,телепередача; телевещание,broadcasting,B1
1736,телехикая,телесериал,TV series,B1
1737,тікелей эфир,прямой эфир,live,B1
1738,хабар,весть; известие; новости,message,B1
1739,танымдық,познавательный,cognitive,B1
1740,көпшілік,общество; публика,most people,B1
1741,баспа,издательство,publishing house,B1
1742,мақала,статья,article,B1
1743,шолушы,обозреватель,commentator; reviewer,B1
1744,тележүргізуші,телеведуший,television presenter,B1
1745,баспагер,издатель,publisher,B1
1746,бөлім бастығы,начальник отдела,Head of Department,B1
1747,түсінік беруші,комментатор,commentator,B1
1748,газет тілшісі,корреспондент,correspondent,B1
1749,меншікті тілші,собственный корреспондент,own correspondent,B1
1750,арнаулы тілші,специальный корреспондент,special correspondent,B1
1751,мерзімді баспасөз; мерзімді басылым,периодика; периодическая печать; издание,periodicals,B1
1752,кітап баспадан шықты,книга вышла из печати,the book came out of print the book has come out,B1
1753,баспа үйі,издательский дом,printing house,B1
1754,қызықтыру,заинтересовывать,"to interest, to attract",B1
1755,көрсету,показывать; демонстрировать,"to show, display (на экране)",B1
1756,жөн санау,считать правильным,to be right; to consider it right,B1
1757,тарату,распространять,to distribute,B1
1758,іске қосылу,вступить в силу или в действие,to enter/come into force,B1
1759,атау,наименование,the name,B1
1760,шығу мерзімі,дата выпуска,date of issue,B1
1761,бос сөз,пустые слова,empty word,B1
1762,ұсыныс,предложение,recommendation,B1
1763,аяқталу,окончание; завершение,end up,B1
1764,алдау,обманывать,to cheat,B1
1765,өзгеру,изменяться,change,B1
1766,әйгілі,известный,famous,B1
1767,бас қосу,объединяться; собираться,"to gather, to meet",B1
1768,ұмыту,забывать,forget,B1
1769,толқу,волноваться,excitement,B1
1770,өшіру,стирать; зачеркивать; выключать,to erase,B1
1771,қателік,ошибка,error,B1
1772,өзекті,актуальный,relevant,B1
1773,сөзсіз қате,абсолютная ошибка,absolute error,B1
1774,қателік жіберілді,допущена ошибка,there was an error,B1
1775,есептеудегі қате,ошибка при вычислении,error in calculating,B1
1776,тіркеу қатесі,ошибка регистрации,registration error,B1
1777,кездейсоқ қате,случайная ошибка,random error,B1
1778,шешімін табу,найти решение,find solution,B1
1779,дәлелдеу,доказывать,proof,B1
1780,сендіру,убедить,to convince,B1
1781,жиналу,собираться; готовиться,get together,B1
1782,алаңдату,беспокоить; отвлекать,disturbing,B1
1783,уақытылы,своевременно; регулярно;,regularly,B1
1784,қызықты мәліметтер,занимательная,entertaining information,B1
1785,күн сайын,каждый день,everyday,B1
1786,хабар тарату,передавать сообщения;,broadcasting,B1
1787,қызық бағдарлама,интересная программа,an interesting program,B1
1788,жағымды ақпарат,положительная,positive information,B1
1789,жақсы жаңалық,хорошие новости,good news,B1
1790,танымал әнші,известная; популярная,popular singer,B1
1791,атақты әртіс,знаменитый артист,famous artist,B1
1792,көңілді кино,забавный фильм,funny film,B1
1793,жаңа бағдарлама,новая программа,a new program,B1
1794,теледидар бағдарламасы,телевизионная программа,TV program,B1
1795,танымал кинофильм,популярный фильм,popular movie,B1
1796,танымдық мәліметтер,познавательные сведения,educational information,B1
1797,қызық телешоу,интересное телешоу,interesting TV show,B1
1798,көрсетілім,показ,demonstration,B1
1799,фильм түсіру,съемки фильма,film shooting,B1
1800,кинофильм өндірісі,производство фильмов,production of film,B1
1801,отандық телеарна,отечественный телеканал,native channel,B1
1802,шаршағанын ұмыту,забыть об усталости,forget about exhaution,B1
1803,жаңа тілші,новый репортер,new reporter,B1
1804,бағдарламаны жүргізу,вести программу,maintain the program,B1
1805,таңғы басылым,утренние издание,morning issuance,B1
1806,тез сатылу,быстрая продажа;,ready sale,B1
1807,жаңалықтар дайындау,подготовка новостей,news production,B1
1808,пайдасы жоқ,бесполезный,useless,B1
1809,эфирге шығу,выйти в эфир,go on the air,B1
1810,телесериал көру,смотреть телесериал,see the TV series,B1
1811,телебағдарламаға қатысу,участие в телевизионной,to participate in a TV,B1
1812,техникалық қиындықтар,технические трудности,technical difficulties,B1
1813,микрофонды өшіру,выключить микрофон,turn off microphone,B1
1814,сөзін ұмытып қалу,забыть слова (текст),forget the words (text),B1
1815,сұхбат алу,брать интервью,to interview,B1
1816,мәтінді білдіретін сөздер,"слова, обозначающие",words denoting text,B1
1817,абзац,абзац,paragraph,B1
1818,қолтаңба,подпись; автограф,autograph,B1
1819,күлкілі әңгіме,анекдот,anecdote,B1
1820,қанатты сөз,афоризм,aphorism,B1
1821,мысал әңгіме,басня,fable,B1
1822,ғұмырнама; биография,биография,biography,B1
1823,кіріспе,введение,introduction,B1
1824,сұрақ,вопрос,question,B1
1825,сауалнама,анкета; вопросник,questionnaire,B1
1826,естелік,воспоминание,memory,B1
1827,түйін,вывод,conclusion,B1
1828,тақырыпат,заголовок,title,B1
1829,нұсқаулық,инструкция,instruction  (зат есім),B1
1830,түсіндірме,комментарий; пояснение,commentary,B1
1831,корректура,корректура,proofreading,B1
1832,естелікнама,мемуары,memoir,B1
1833,әуесқойлық;,хобби,hobby,B1
1834,үздік атану,быть лучшим,to be the best,B1
1835,арасы,между,between,B1
1836,таза ауа,свежий воздух,fresh air,B1
